star_rating,title,content_rating,genre,duration,actors_list
9.3,The Shawshank Redemption,R,Crime,142,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']"
9.2,The Godfather,R,Crime,175,"['Marlon Brando', 'Al Pacino', 'James Caan']"
9.1,The Godfather: Part II,R,Crime,200,"['Al Pacino', 'Robert De Niro', 'Robert Duvall']"
9,The Dark Knight,PG-13,Action,152,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart']"
8.9,Pulp Fiction,R,Crime,154,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson']"
8.9,12 Angry Men,NOT RATED,Drama,96,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam']"
8.9,"The Good, the Bad and the Ugly",NOT RATED,Western,161,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef']"
8.9,The Lord of the Rings: The Return of the King,PG-13,Adventure,201,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen']"
8.9,Schindler's List,R,Biography,195,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley']"
8.9,Fight Club,R,Drama,139,"['Brad Pitt', 'Edward Norton', 'Helena Bonham Carter']"
8.8,The Lord of the Rings: The Fellowship of the Ring,PG-13,Adventure,178,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom']"
8.8,Inception,PG-13,Action,148,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page']"
8.8,Star Wars: Episode V - The Empire Strikes Back,PG,Action,124,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']"
8.8,Forrest Gump,PG-13,Drama,142,"['Tom Hanks', 'Robin Wright', 'Gary Sinise']"
8.8,The Lord of the Rings: The Two Towers,PG-13,Adventure,179,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']"
8.7,Interstellar,PG-13,Adventure,169,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain']"
8.7,One Flew Over the Cuckoo's Nest,R,Drama,133,"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman']"
8.7,Seven Samurai,UNRATED,Drama,207,"['Toshir\xf4 Mifune', 'Takashi Shimura', 'Keiko Tsushima']"
8.7,Goodfellas,R,Biography,146,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci']"
8.7,Star Wars,PG,Action,121,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']"
8.7,The Matrix,R,Action,136,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']"
8.7,City of God,R,Crime,130,"['Alexandre Rodrigues', 'Matheus Nachtergaele', 'Leandro Firmino']"
8.7,It's a Wonderful Life,APPROVED,Drama,130,"['James Stewart', 'Donna Reed', 'Lionel Barrymore']"
8.7,The Usual Suspects,R,Crime,106,"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri']"
8.7,Se7en,R,Drama,127,"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey']"
8.6,Life Is Beautiful,PG-13,Comedy,116,"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini']"
8.6,Once Upon a Time in the West,PG-13,Western,175,"['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale']"
8.6,The Silence of the Lambs,R,Drama,118,"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney']"
8.6,Leon: The Professional,R,Crime,110,"['Jean Reno', 'Gary Oldman', 'Natalie Portman']"
8.6,City Lights,PASSED,Comedy,87,"['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee']"
8.6,Spirited Away,PG,Animation,125,"['Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino']"
8.6,The Intouchables,R,Biography,112,"['Fran\xe7ois Cluzet', 'Omar Sy', 'Anne Le Ny']"
8.6,Casablanca,PG,Drama,102,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid']"
8.6,Whiplash,R,Drama,107,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist']"
8.6,American History X,R,Crime,119,"['Edward Norton', 'Edward Furlong', u""Beverly D'Angelo""]"
8.6,Modern Times,G,Comedy,87,"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman']"
8.6,Saving Private Ryan,R,Action,169,"['Tom Hanks', 'Matt Damon', 'Tom Sizemore']"
8.6,Raiders of the Lost Ark,PG,Action,115,"['Harrison Ford', 'Karen Allen', 'Paul Freeman']"
8.6,Rear Window,APPROVED,Mystery,112,"['James Stewart', 'Grace Kelly', 'Wendell Corey']"
8.6,Psycho,R,Horror,109,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles']"
8.5,The Green Mile,R,Crime,189,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse']"
8.5,Sunset Blvd.,NOT RATED,Drama,110,"['William Holden', 'Gloria Swanson', 'Erich von Stroheim']"
8.5,The Pianist,R,Biography,150,"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay']"
8.5,The Dark Knight Rises,PG-13,Action,165,"['Christian Bale', 'Tom Hardy', 'Anne Hathaway']"
8.5,Gladiator,R,Action,155,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen']"
8.5,Terminator 2: Judgment Day,R,Action,137,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong']"
8.5,Memento,R,Mystery,113,"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano']"
8.5,Taare Zameen Par,PG,Drama,165,"['Darsheel Safary', 'Aamir Khan', 'Tanay Chheda']"
8.5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,PG,Comedy,95,"['Peter Sellers', 'George C. Scott', 'Sterling Hayden']"
8.5,The Departed,R,Crime,151,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson']"
8.5,Cinema Paradiso,R,Drama,155,"['Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili']"
8.5,Apocalypse Now,R,Drama,153,"['Martin Sheen', 'Marlon Brando', 'Robert Duvall']"
8.5,The Great Dictator,APPROVED,Comedy,125,"['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie']"
8.5,The Prestige,PG-13,Drama,130,"['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson']"
8.5,Back to the Future,PG,Adventure,116,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson']"
8.5,The Lion King,G,Animation,89,"['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones']"
8.5,The Lives of Others,R,Drama,137,"['Ulrich M\xfche', 'Martina Gedeck', 'Sebastian Koch']"
8.5,Alien,R,Horror,117,"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt']"
8.5,Paths of Glory,APPROVED,Drama,88,"['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjo']"
